Date,Equity,Holding
2012-08-28,13417.722334427608,QLD
2012-08-29,13415.489000538257,QLD
2012-08-30,13148.248145725549,QLD
2012-08-31,13333.093660434535,QLD
2012-09-04,13299.683993099508,QLD
2012-09-05,13266.280406409065,QLD
2012-09-06,13847.529222193532,QLD
2012-09-07,13809.67373500409,QLD
2012-09-10,13466.713219177376,QLD
2012-09-11,13422.172497599584,QLD
2012-09-12,13506.798565602123,QLD
2012-09-13,13851.983728683066,QLD
2012-09-14,14112.544561088496,QLD
2012-09-17,14121.456180058103,QLD
2012-09-18,14148.179744341267,QLD
2012-09-19,14192.719597255547,QLD
2012-09-20,14170.448802134895,QLD
2012-09-21,14181.578119050637,QLD
2012-09-24,13994.51230040498,QLD
2012-09-25,13609.24179089929,QLD
2012-09-26,13397.671843243628,QLD
2012-09-27,13758.447779037946,QLD
2012-09-28,13546.886518017403,QLD
2012-10-01,13484.529507808495,QLD
2012-10-02,13578.06372012659,QLD
2012-10-03,13731.72334609127,QLD
2012-10-04,13834.166571388438,QLD
2012-10-05,13680.508682750782,QLD
2012-10-08,13448.89693054626,QLD
2012-10-09,13023.536731298265,QLD
2012-10-10,12889.917172555422,QLD
2012-10-11,12789.702069166535,QLD
2012-10-12,12783.018572105208,QLD
2012-10-15,12963.411317651682,QLD
2012-10-16,13339.770208187765,QLD
2012-10-17,13330.86293253572,QLD
2012-10-18,13025.764853206545,QLD
2012-10-19,12397.74893126303,QLD
2012-10-22,12531.369358669384,QLD
2012-10-23,12281.945661151305,QLD
2012-10-24,12150.713476262015,GLD
2012-10-25,12236.209485466936,GLD
2012-10-26,12229.575340636495,GLD
2012-10-31,12295.908916587321,GLD
2012-11-01,12215.427321719599,TLT
2012-11-02,12182.04140033309,QLD
2012-11-05,12344.764942742137,TLT
2012-11-06,12228.289821080132,TLT
2012-11-07,12450.178322263457,TLT
2012-11-08,12634.922357571235,TLT
2012-11-09,12648.983689713386,TLT
2012-11-12,12670.070752586575,TLT
2012-11-13,12712.235007652871,TLT
2012-11-14,12724.288204770275,TLT
2012-11-15,12699.181581620902,TLT
2012-11-16,12688.146161293756,TLT
2012-11-19,12616.854626059669,TLT
2012-11-20,12490.3377325317,TLT
2012-11-21,12483.315292027355,TLT
2012-11-23,12471.263191652182,TLT
2012-11-26,12530.50701348002,TLT
2012-11-27,12579.700289504046,TLT
2012-11-28,12561.630364508017,TLT
2012-11-29,12563.642886501688,TLT
2012-11-30,12529.50020411207,TLT
2012-12-03,12541.069737905655,TLT
2012-12-04,12613.50188505986,TLT
2012-12-05,12607.463222336619,TLT
2012-12-06,12634.631720880052,TLT
2012-12-07,12517.926283349561,TLT
2012-12-10,12573.268993062147,TLT
2012-12-11,12477.694488094081,TLT
2012-12-12,12332.823613332284,TLT
2012-12-13,12341.880510674915,TLT
2012-12-14,12434.430200570208,TLT
2012-12-17,12248.315237473826,TLT
2012-12-18,12123.573969617655,TLT
2012-12-19,12139.497978998059,QLD
2012-12-20,12106.626295199463,TLT
2012-12-21,12238.77697276739,TLT
2012-12-24,12216.749131325127,TLT
2012-12-26,12260.694582232954,TLT
2012-12-27,12301.835120466423,TLT
2012-12-28,12372.069260707836,TLT
2012-12-31,12158.356743035778,TLT
2013-01-02,11995.814782070873,TLT
2013-01-03,11809.621376408546,QLD
2013-01-04,11723.82099240271,QLD
2013-01-07,11746.290494574547,QLD
2013-01-08,11713.604255127522,QLD
2013-01-09,11766.719195320416,QLD
2013-01-10,11911.760901967473,QLD
2013-01-11,11950.575910765076,QLD
2013-01-14,11838.221239199129,QLD
2013-01-15,11725.861793828677,QLD
2013-01-16,11815.746963222786,QLD
2013-01-17,11924.020031936796,QLD
2013-01-18,11881.1162595805,QLD
2013-01-22,11924.020031936796,QLD
2013-01-23,12042.50347285332,QLD
2013-01-24,11727.904982156899,QLD
2013-01-25,11846.390809975675,QLD
2013-01-28,11895.420964780296,QLD
2013-01-29,11850.477186632115,QLD
2013-01-30,11860.689150102799,QLD
2013-01-31,11791.234272722728,QLD
2013-02-01,12067.016163353379,QLD
2013-02-04,11644.148582113368,QLD
2013-02-05,12005.733243652106,QLD
2013-02-06,11915.847278623914,QLD
2013-02-07,11940.362356026224,QLD
2013-02-08,12183.455620307597,QLD
2013-02-11,12185.501991172156,QLD
2013-02-12,12085.402471405112,QLD
2013-02-13,12171.20126414278,QLD
2013-02-14,12156.900537113403,QLD
2013-02-15,12097.656031935847,QLD
2013-02-19,12267.21599852155,QLD
2013-02-20,11889.28662599113,QLD
2013-02-21,11633.938209910853,QLD
2013-02-22,11864.773935491072,QLD
2013-02-25,11568.567322284973,QLD
2013-02-26,11652.320539792167,QLD
2013-02-27,11887.249007101498,QLD
2013-02-28,11848.433202669812,QLD
2013-03-01,11944.447937048582,QLD
2013-03-04,12054.76021592039,QLD
2013-03-05,12418.384883251014,QLD
2013-03-06,12348.930005870943,QLD
2013-03-07,12418.384883251014,QLD
2013-03-08,12432.682427744054,QLD
2013-03-11,12518.48281174989,QLD
2013-03-12,12430.642421952169,QLD
2013-03-13,12387.739445229956,QLD
2013-03-14,12475.584608832181,QLD
2013-03-15,12406.128140183942,QLD
2013-03-18,12340.756456923977,QLD
2013-03-19,12306.025437880562,QLD
2013-03-20,12459.779337749587,QLD
2013-03-21,12195.681333645385,QLD
2013-03-22,12422.929545139954,QLD
2013-03-25,12326.70953716746,QLD
2013-03-26,12470.019148413216,QLD
2013-03-27,12500.72664589284,QLD
2013-03-28,12568.287118518436,QLD
2013-04-01,12388.128510297129,QLD
2013-04-02,12584.66683740982,QLD
2013-04-03,12355.370663782527,QLD
2013-04-04,12365.604109373482,QLD
2013-04-05,12154.738003672552,QLD
2013-04-08,12285.761433390122,QLD
2013-04-09,12441.358021798149,QLD
2013-04-10,12932.705828665086,QLD
2013-04-11,12908.137443779135,QLD
2013-04-12,12897.897633115506,QLD
2013-04-15,12392.221252026244,QLD
2013-04-16,12723.88132002421,QLD
2013-04-17,12226.388831125008,QLD
2013-04-18,11882.444172867026,QLD
2013-04-19,12212.06105253677,QLD
2013-04-22,12447.495543123652,QLD
2013-04-23,12689.075511376881,QLD
2013-04-24,12678.843657054094,QLD
2013-04-25,12813.962215403031,QLD
2013-04-26,12742.304227243816,QLD
2013-04-29,12973.649954272003,QLD
2013-04-30,13153.814131931898,QLD
2013-05-01,13043.259184664408,QLD
2013-05-02,13366.72740413147,QLD
2013-05-03,13684.058102273028,QLD
2013-05-06,13784.37323887689,QLD
2013-05-07,13767.997498155924,QLD
2013-05-08,13905.163223003503,QLD
2013-05-09,13878.549262887078,QLD
2013-05-10,14025.954798398285,QLD
2013-05-13,14073.038832232958,QLD
2013-05-14,14214.308437686832,QLD
2013-05-15,14269.576363711565,QLD
2013-05-16,14245.013548264204,QLD
2013-05-17,14505.021993175627,QLD
2013-05-20,14464.073889398289,QLD
2013-05-21,14490.683075710209,QLD
2013-05-22,14259.344509388779,QLD
2013-05-23,14169.262818375873,QLD
2013-05-24,14167.214856243147,QLD
2013-05-28,14347.37664700079,QLD
2013-05-29,14208.161368752317,QLD
2013-05-30,14355.565312995357,QLD
2013-05-31,14089.419346758428,QLD
2013-06-03,14148.792744657625,QLD
2013-06-04,14001.388800414587,QLD
2013-06-05,13645.16432570109,QLD
2013-06-06,13745.469914695941,QLD
2013-06-07,14134.458600996713,QLD
2013-06-10,14154.933448519467,QLD
2013-06-11,13870.363779428848,QLD
2013-06-12,13546.887603620944,QLD
2013-06-13,13878.549262887078,QLD
2013-06-14,13708.620917720391,QLD
2013-06-17,13960.442287905416,QLD
2013-06-18,14191.784036763183,QLD
2013-06-19,13874.458112426131,QLD
2013-06-20,13196.801445867037,QLD
2013-06-21,13082.153756870432,QLD
2013-06-24,12818.057344034398,QLD
2013-06-25,12996.167990122978,QLD
2013-06-26,13217.27629338979,QLD
2013-06-27,13348.299723107359,QLD
2013-06-28,13360.58670026963,QLD
2013-07-01,13553.026716214617,QLD
2013-07-02,13557.12264048007,QLD
2013-07-03,13671.77192074484,QLD
2013-07-05,13870.363779428848,QLD
2013-07-08,13894.92818614438,QLD
2013-07-09,14064.85334877473,QLD
2013-07-10,14234.780102673247,QLD
2013-07-11,14822.344734976343,QLD
2013-07-12,14930.85808518378,QLD
2013-07-15,15000.463337405765,QLD
2013-07-16,14961.563195761151,QLD
2013-07-17,15029.128442191251,QLD
2013-07-18,14953.37134723025,QLD
2013-07-19,14650.376384017773,QLD
2013-07-22,14722.032780908818,QLD
2013-07-23,14519.343406691192,QLD
2013-07-24,14607.386683180383,QLD
2013-07-25,14781.396631199004,QLD
2013-07-26,14941.089939506568,QLD
2013-07-29,14887.857245469211,QLD
2013-07-30,15039.36029651404,QLD
2013-07-31,15104.869624470572,QLD
2013-08-01,15403.776619758439,QLD
2013-08-02,15583.940001784249,QLD
2013-08-05,15606.459628903393,QLD
2013-08-06,15420.157134283909,QLD
2013-08-07,15362.830107249269,QLD
2013-08-08,15502.043794229574,QLD
2013-08-09,15389.453614974705,QLD
2013-08-12,15446.769503132165,QLD
2013-08-13,15618.74262789524,QLD
2013-08-14,15510.24200783315,QLD
2013-08-15,14994.31626847125,QLD
2013-08-16,14965.654346222098,QLD
2013-08-19,14918.573494923761,QLD
2013-08-20,15049.5985159095,QLD
2013-08-21,14945.184272503851,QLD
2013-08-22,15227.710753266249,QLD
2013-08-23,15444.719949731272,QLD
2013-08-26,15448.814282728556,QLD
2013-08-27,14810.063327252661,QLD
2013-08-28,14943.137901639293,QLD
2013-08-29,15145.81772824791,QLD
2013-08-30,14947.233825904745,QLD
2013-09-03,15102.826436142352,QLD
2013-09-04,15442.678352671219,QLD
2013-09-05,15495.909455440407,QLD
2013-09-06,15530.70094267422,QLD
2013-09-09,15886.93178246039,QLD
2013-09-10,16048.676235437015,QLD
2013-09-11,15989.298063733313,QLD
2013-09-12,15958.592953155941,QLD
2013-09-13,15987.25805794143,QLD
2013-09-16,15895.120448454956,QLD
2013-09-17,16112.134418724485,QLD
2013-09-18,16494.983992431586,QLD
2013-09-19,16570.72835724724,QLD
2013-09-20,16451.98792652152,QLD
2013-09-23,16382.3794917632,QLD
2013-09-24,16388.52337816138,QLD
2013-09-25,16290.253021153907,QLD
2013-09-26,16531.83935447981,QLD
2013-09-27,16494.983992431586,QLD
2013-09-30,16376.240379169529,QLD
2013-10-01,16742.699890742148,QLD
2013-10-02,16724.279370424796,QLD
2013-10-03,16339.386608389474,QLD
2013-10-04,16611.671687220074,QLD
2013-10-07,16337.338646256749,QLD
2013-10-08,15727.243247957333,QLD
2013-10-09,15612.60351530157,QLD
2013-10-10,16259.539954235692,QLD
2013-10-11,16527.737065141682,QLD
2013-10-14,16754.984481002168,QLD
2013-10-15,16630.098572610103,QLD
2013-10-16,17004.754706518128,QLD
2013-10-17,17199.242684595843,QLD
2013-10-18,17754.05583545701,QLD
