Date,BIL,GLD,QQQ,SPY,VXUS
2014-03-11,74.83052062988281,129.86000061035156,82.15824127197266,152.4964599609375,35.9881591796875
2014-03-12,74.83052062988281,131.75999450683594,82.4678726196289,152.53713989257812,35.897743225097656
2014-03-13,74.83052062988281,132.2100067138672,81.30220794677734,150.82675170898438,35.31357955932617
2014-03-14,74.83052062988281,133.10000610351562,80.74671936035156,150.40325927734375,35.2857780456543
2014-03-17,74.83052062988281,131.63999938964844,81.45703125,151.7634735107422,35.68910217285156
2014-03-18,74.83052062988281,130.6199951171875,82.44050598144531,152.8467559814453,35.93947219848633
2014-03-19,74.84680938720703,128.08999633789062,81.99430084228516,152.0322265625,35.47352981567383
2014-03-20,74.83052062988281,127.86000061035156,82.22195434570312,152.91998291015625,35.40400314331055
2014-03-21,74.84680938720703,128.47000122070312,81.23257446289062,152.32688903808594,35.39704513549805
2014-03-24,74.84680938720703,126.18000030517578,80.5206527709961,151.69696044921875,35.508304595947266
2014-03-25,74.84680938720703,126.41000366210938,80.78532409667969,152.4169158935547,35.849430084228516
2014-03-26,74.83052062988281,125.41000366210938,79.74481964111328,151.32064819335938,35.8564338684082
2014-03-27,74.83052062988281,124.58999633789062,79.29759216308594,151.00160217285156,36.115596771240234
2014-03-28,74.83052062988281,124.55999755859375,79.45274353027344,151.74606323242188,36.33274459838867
2014-03-31,74.83052062988281,123.61000061035156,80.01866149902344,152.98956298828125,36.56388854980469
2014-04-01,74.83052062988281,123.38999938964844,81.42420959472656,154.0039825439453,36.81605911254883
2014-04-02,74.83052062988281,124.31999969482422,81.63420104980469,154.51937866210938,36.88611602783203
2014-04-03,74.84680938720703,123.91999816894531,80.98613739013672,154.31488037109375,36.781044006347656
2014-04-04,74.83052062988281,125.56999969482422,78.83211517333984,152.49049377441406,36.696983337402344
2014-04-07,74.83052062988281,124.91000366210938,78.08369445800781,150.80520629882812,36.57089614868164
2014-04-08,74.83052062988281,126.08999633789062,78.80472564697266,151.42698669433594,36.66896438598633
2014-04-09,74.83052062988281,126.31999969482422,80.155517578125,153.0550079345703,37.096248626708984
2014-04-10,74.83052062988281,127.01000213623047,77.67294311523438,149.83995056152344,36.465824127197266
2014-04-11,74.83052062988281,126.93000030517578,76.76934051513672,148.4900665283203,36.33274459838867
2014-04-14,74.83052062988281,127.8499984741211,77.37174987792969,149.65997314453125,36.486846923828125
2014-04-15,74.83052062988281,125.48999786376953,77.62732696533203,150.69073486328125,36.248695373535156
2014-04-16,74.83052062988281,125.54000091552734,78.6587142944336,152.2696075439453,36.61993408203125
2014-04-17,74.84680938720703,124.75,78.67693328857422,152.48231506347656,36.81605911254883
2014-04-21,74.83052062988281,124.23999786376953,79.26107788085938,153.01406860351562,36.914127349853516
2014-04-22,74.81411743164062,123.77999877929688,79.89086151123047,153.70947265625,36.942142486572266
2014-04-23,74.83052062988281,123.76000213623047,79.18809509277344,153.3495330810547,36.83007049560547
2014-04-24,74.83052062988281,124.55999755859375,79.94562530517578,153.66038513183594,36.85808181762695
2014-04-25,74.83052062988281,125.43000030517578,78.66783142089844,152.40057373046875,36.633949279785156
2014-04-28,74.83052062988281,124.87999725341797,78.92340087890625,152.8832244873047,36.746002197265625
2014-04-29,74.83052062988281,124.86000061035156,79.55317687988281,153.5948944091797,36.89310073852539
2014-04-30,74.83052062988281,124.22000122070312,79.7630386352539,154.05303955078125,37.02620315551758
2014-05-01,74.81411743164062,123.80000305175781,80.00041961669922,154.06939697265625,37.082237243652344
2014-05-02,74.83052062988281,125.05999755859375,79.8543701171875,153.84852600097656,37.131263732910156
2014-05-05,74.83052062988281,126.22000122070312,80.27422332763672,154.14306640625,37.096248626708984
2014-05-06,74.81411743164062,125.9800033569336,79.23370361328125,152.80140686035156,37.068241119384766
2014-05-07,74.81411743164062,124.16999816894531,79.00552368164062,153.70123291015625,37.166297912597656
2014-05-08,74.81411743164062,124.16999816894531,78.93250274658203,153.5376739501953,37.173301696777344
2014-05-09,74.83052062988281,124.0999984741211,79.22459411621094,153.76673889160156,37.096248626708984
2014-05-12,74.81411743164062,124.94000244140625,80.5297622680664,155.26380920410156,37.41843795776367
2014-05-13,74.83052062988281,124.5999984741211,80.58452606201172,155.4028778076172,37.45347595214844
2014-05-14,74.83052062988281,125.80999755859375,80.16468048095703,154.66659545898438,37.474483489990234
2014-05-15,74.83052062988281,124.7699966430664,79.53490447998047,153.30856323242188,37.243343353271484
2014-05-16,74.83052062988281,124.5,80.05517578125,153.84033203125,37.3624153137207
2014-05-19,74.83052062988281,124.58000183105469,80.6119155883789,154.4048614501953,37.34140396118164
2014-05-20,74.83052062988281,124.69000244140625,80.31985473632812,153.4313201904297,37.0892448425293
2014-05-21,74.81411743164062,124.38999938964844,81.08653259277344,154.723876953125,37.3624153137207
2014-05-22,74.81411743164062,124.66999816894531,81.4425048828125,155.10015869140625,37.474483489990234
2014-05-23,74.83052062988281,124.51000213623047,82.03575897216797,155.72195434570312,37.579559326171875
2014-05-27,74.81411743164062,121.8499984741211,83.05805206298828,156.6791229248047,37.71965026855469
2014-05-28,74.83052062988281,121.19999694824219,82.8024673461914,156.56459045410156,37.642601013183594
2014-05-29,74.81411743164062,120.94000244140625,83.33184814453125,157.3744659423828,37.845726013183594
2014-05-30,74.83052062988281,120.43000030517578,83.3409652709961,157.62802124023438,37.74065399169922
2014-06-02,74.81411743164062,119.69999694824219,83.25881958007812,157.8080596923828,37.90877914428711
2014-06-03,74.81411743164062,120.01000213623047,83.22230529785156,157.72625732421875,37.845726013183594
2014-06-04,74.81411743164062,119.76000213623047,83.53265380859375,158.04531860351562,37.83871841430664
2014-06-05,74.81411743164062,120.66000366210938,84.23544311523438,159.07606506347656,38.09089660644531
2014-06-06,74.81411743164062,120.61000061035156,84.71920013427734,159.83692932128906,38.32203674316406
2014-06-09,74.83052062988281,120.6500015258789,84.6552963256836,160.00051879882812,38.35006332397461
