ticker,name,market
058850.KS,058850,KOSPI
016740.KS,016740,KOSPI
017370.KS,017370,KOSPI
013520.KS,013520,KOSPI
214330.KS,214330,KOSPI
014160.KS,014160,KOSPI
000105.KS,000105,KOSPI
007210.KS,007210,KOSPI
006660.KS,006660,KOSPI
013360.KS,013360,KOSPI
023800.KS,023800,KOSPI
227840.KS,227840,KOSPI
034590.KS,034590,KOSPI
005870.KS,005870,KOSPI
023450.KS,023450,KOSPI
011330.KS,011330,KOSPI
017900.KS,017900,KOSPI
011810.KS,011810,KOSPI
068290.KS,068290,KOSPI
001020.KS,001020,KOSPI
008700.KS,008700,KOSPI
264900.KS,264900,KOSPI
036580.KS,036580,KOSPI
017550.KS,017550,KOSPI
014790.KS,014790,KOSPI
004840.KS,004840,KOSPI
002450.KS,002450,KOSPI
003060.KS,003060,KOSPI
006840.KS,006840,KOSPI
011150.KS,011150,KOSPI
396690.KS,396690,KOSPI
119650.KS,119650,KOSPI
032560.KS,032560,KOSPI
002780.KS,002780,KOSPI
008260.KS,008260,KOSPI
000180.KS,000180,KOSPI
005740.KS,005740,KOSPI
480370.KS,480370,KOSPI
002720.KS,002720,KOSPI
33626K.KS,33626K,KOSPI
002600.KS,002600,KOSPI
058860.KS,058860,KOSPI
163560.KS,163560,KOSPI
007980.KS,007980,KOSPI
078935.KS,078935,KOSPI
023000.KS,023000,KOSPI
085310.KS,085310,KOSPI
002700.KS,002700,KOSPI
004720.KS,004720,KOSPI
014440.KS,014440,KOSPI
023810.KS,023810,KOSPI
000850.KS,000850,KOSPI
001560.KS,001560,KOSPI
004890.KS,004890,KOSPI
010960.KS,010960,KOSPI
111380.KS,111380,KOSPI
000590.KS,000590,KOSPI
096775.KS,096775,KOSPI
006490.KS,006490,KOSPI
013870.KS,013870,KOSPI
006890.KS,006890,KOSPI
079980.KS,079980,KOSPI
010040.KS,010040,KOSPI
007280.KS,007280,KOSPI
001275.KS,001275,KOSPI
372910.KS,372910,KOSPI
004100.KS,004100,KOSPI
338100.KS,338100,KOSPI
012690.KS,012690,KOSPI
009770.KS,009770,KOSPI
003780.KS,003780,KOSPI
092780.KS,092780,KOSPI
011390.KS,011390,KOSPI
001260.KS,001260,KOSPI
009180.KS,009180,KOSPI
006880.KS,006880,KOSPI
001470.KS,001470,KOSPI
009200.KS,009200,KOSPI
006090.KS,006090,KOSPI
007590.KS,007590,KOSPI
002795.KS,002795,KOSPI
005750.KS,005750,KOSPI
002760.KS,002760,KOSPI
000220.KS,000220,KOSPI
004830.KS,004830,KOSPI
018500.KS,018500,KOSPI
004440.KS,004440,KOSPI
071090.KS,071090,KOSPI
013700.KS,013700,KOSPI
055490.KS,055490,KOSPI
024900.KS,024900,KOSPI
031820.KS,031820,KOSPI
111110.KS,111110,KOSPI
120115.KS,120115,KOSPI
016090.KS,016090,KOSPI
37550L.KS,37550L,KOSPI
004540.KS,004540,KOSPI
129260.KS,129260,KOSPI
001290.KS,001290,KOSPI
