date,value,cash,holdings
2022-06-14,180386.92762972906,192.94838168219943,180193.97924804688
2022-06-15,181684.4225599964,192.94838168219943,181491.4741783142
2022-06-16,180799.4828207691,192.94838168219943,180606.5344390869
2022-06-17,180492.38993289068,192.94838168219943,180299.4415512085
2022-06-21,180101.51194979742,192.94838168219943,179908.56356811523
2022-06-22,181321.651483794,192.94838168219943,181128.70310211182
2022-06-23,181513.5010855396,192.94838168219943,181320.55270385742
2022-06-24,181271.00854327276,192.94838168219943,181078.06016159058
2022-06-27,180878.48528506354,192.94838168219943,180685.53690338135
2022-06-28,181188.86351611212,192.94838168219943,180995.91513442993
2022-06-29,181923.69427325323,192.94838168219943,181730.74589157104
2022-06-30,182235.796304961,192.94838168219943,182042.8479232788
2022-07-01,183205.15551094705,125.95990853005694,183079.195602417
2022-07-05,183137.35726265603,125.95990853005694,183011.39735412598
2022-07-06,181670.2568560093,125.95990853005694,181544.29694747925
2022-07-07,181742.07098488504,125.95990853005694,181616.11107635498
2022-07-08,180879.008687064,125.95990853005694,180753.04877853394
2022-07-11,181618.1442766636,125.95990853005694,181492.18436813354
2022-07-12,181782.71846489602,125.95990853005694,181656.75855636597
2022-07-13,182491.99791054422,125.95990853005694,182366.03800201416
2022-07-14,181358.25145439798,125.95990853005694,181232.29154586792
2022-07-15,182268.26736168558,125.95990853005694,182142.30745315552
2022-07-18,181778.8528566807,125.95990853005694,181652.89294815063
2022-07-19,182452.92913536722,125.95990853005694,182326.96922683716
2022-07-20,182805.24210076028,125.95990853005694,182679.28219223022
2022-07-21,184124.911320731,125.95990853005694,183998.95141220093
2022-07-22,185039.12980370218,125.95990853005694,184913.16989517212
2022-07-25,184860.7140360325,125.95990853005694,184734.75412750244
2022-07-26,184562.12022499734,125.95990853005694,184436.16031646729
2022-07-27,184832.24796394998,125.95990853005694,184706.28805541992
2022-07-28,185678.98827080423,125.95990853005694,185553.02836227417
2022-07-29,186930.35196785623,125.95990853005694,186804.39205932617
2022-08-01,188152.8402094143,43.98347799950977,188108.8567314148
2022-08-02,186115.05734198267,43.98347799950977,186071.07386398315
2022-08-03,186760.28277533228,43.98347799950977,186716.29929733276
2022-08-04,186102.01758902246,43.98347799950977,186058.03411102295
2022-08-05,185112.8311647671,43.98347799950977,185068.84768676758
2022-08-08,186286.43500082666,43.98347799950977,186242.45152282715
2022-08-09,186146.63782446558,43.98347799950977,186102.65434646606
2022-08-10,186921.37972967798,43.98347799950977,186877.39625167847
2022-08-11,186513.70568792993,43.98347799950977,186469.72220993042
2022-08-12,187619.16717474634,43.98347799950977,187575.18369674683
2022-08-15,186885.96784155542,43.98347799950977,186841.9843635559
2022-08-16,187259.65136282617,43.98347799950977,187215.66788482666
2022-08-17,186316.80652945215,43.98347799950977,186272.82305145264
2022-08-18,186922.59305899317,43.98347799950977,186878.60958099365
2022-08-19,185227.8803819912,43.98347799950977,185183.8969039917
2022-08-22,184133.30071203882,43.98347799950977,184089.3172340393
2022-08-23,184903.5506052273,43.98347799950977,184859.56712722778
2022-08-24,184848.79497091944,43.98347799950977,184804.81149291992
2022-08-25,186611.4373125332,43.98347799950977,186567.4538345337
2022-08-26,185501.05321066553,43.98347799950977,185457.06973266602
2022-08-29,185072.15113012964,43.98347799950977,185028.16765213013
2022-08-30,183856.5948175686,43.98347799950977,183812.6113395691
2022-08-31,182630.50340216333,43.98347799950977,182586.51992416382
2022-09-01,180669.8227610119,-56.45174841802708,180726.27450942993
2022-09-02,181172.1946634777,-56.45174841802708,181228.64641189575
2022-09-06,179119.33006997185,-56.45174841802708,179175.7818183899
2022-09-07,180363.72319359856,-56.45174841802708,180420.1749420166
2022-09-08,179865.35369820672,-56.45174841802708,179921.80544662476
2022-09-09,180874.69588036614,-56.45174841802708,180931.14762878418
2022-09-12,180724.9692339428,-56.45174841802708,180781.42098236084
2022-09-13,179716.5403666027,-56.45174841802708,179772.99211502075
2022-09-14,180282.62391610222,-56.45174841802708,180339.07566452026
2022-09-15,179840.26270241814,-56.45174841802708,179896.71445083618
2022-09-16,178700.30538506585,-56.45174841802708,178756.7571334839
2022-09-19,179019.26868004876,-56.45174841802708,179075.7204284668
2022-09-20,177949.85920662957,-56.45174841802708,178006.3109550476
2022-09-21,178646.97614235955,-56.45174841802708,178703.4278907776
2022-09-22,176720.7142023571,-56.45174841802708,176777.16595077515
2022-09-23,175481.46635384636,-56.45174841802708,175537.9181022644
2022-09-26,173453.05520577508,-56.45174841802708,173509.50695419312
2022-09-27,171720.8694757946,-56.45174841802708,171777.32122421265
2022-09-28,174947.77062935906,-56.45174841802708,175004.2223777771
2022-09-29,174194.81699700432,-56.45174841802708,174251.26874542236
2022-09-30,173113.68096108513,-56.45174841802708,173170.13270950317
2022-10-03,175450.6956438549,-56.45174841802708,175507.14739227295
2022-10-04,176566.51167244988,-56.45174841802708,176622.96342086792
2022-10-05,175883.0051035412,-56.45174841802708,175939.45685195923
2022-10-06,175561.64646096306,-56.45174841802708,175618.0982093811
2022-10-07,174378.95997567254,-56.45174841802708,174435.41172409058
2022-10-10,172979.83179040032,-56.45174841802708,173036.28353881836
2022-10-11,173098.74759621697,-56.45174841802708,173155.199344635
