Date,PV_KRW,Signal,QuantScore,Emergency
2024-06-13,178628097.71018696,NORMAL,99.90769239572379,False
2024-06-14,180068869.69101262,NORMAL,100.0,False
2024-06-17,183692079.41526222,NORMAL,98.47692342904898,False
2024-06-18,183800978.16319776,NORMAL,98.26923076923077,False
2024-06-19,183740992.44927353,NORMAL,99.30769186753493,False
2024-06-20,182765683.9629333,NORMAL,99.30769186753493,False
2024-06-21,183077852.80492562,NORMAL,97.04615446237418,False
2024-06-24,180606544.9839393,NORMAL,97.2307696709266,False
2024-06-25,182255284.6392339,NORMAL,96.93076940683218,False
2024-06-26,183155118.00203413,NORMAL,98.06153810941257,False
2024-06-27,184525569.81982824,NORMAL,98.73076879061185,False
2024-06-28,182730357.46932825,NORMAL,99.4461543743427,False
2024-07-01,182747619.6049904,NORMAL,98.98461635296161,False
2024-07-02,185142377.4197947,NORMAL,99.49230707608737,False
2024-07-03,187364674.18169653,NORMAL,99.93076984698956,False
2024-07-04,187682945.13051006,NORMAL,99.7923073401818,False
2024-07-05,190421498.7149054,NORMAL,99.7923073401818,False
2024-07-08,189631486.1008031,NORMAL,98.8923087486854,False
2024-07-09,190612236.78161573,NORMAL,99.14615411024828,False
2024-07-10,193264845.52614033,NORMAL,98.82307639488806,False
2024-07-11,189534206.29277462,NORMAL,98.03846065814679,False
2024-07-12,189001571.7235675,NORMAL,97.87692290086012,False
2024-07-15,189498975.5190143,NORMAL,98.93846145043005,False
2024-07-16,192001124.77633795,NORMAL,97.41538487947903,False
2024-07-17,185403303.5428481,NORMAL,97.25384712219238,False
2024-07-18,182981393.8211997,NORMAL,64.27692413330078,False
2024-07-19,181200100.17332017,NORMAL,60.930768526517426,False
2024-07-22,184720140.0661167,NORMAL,59.569229712853065,False
2024-07-23,183801061.38385695,NORMAL,83.4822698934272,False
2024-07-24,176060363.13018826,NORMAL,67.81182924751391,False
2024-07-25,173274979.5217592,NORMAL,26.061536348783054,True
2024-07-26,175859760.9820824,NORMAL,25.092309805063103,True
2024-07-29,176155149.8041257,NORMAL,29.869232177734375,True
2024-07-30,173769948.5295434,NORMAL,29.384614504300632,True
2024-07-31,180646008.4447479,NORMAL,26.869229536790115,True
2024-08-01,177298747.08145905,NORMAL,29.93846012995793,True
2024-08-02,175819454.39505705,NORMAL,24.792307340181793,True
2024-08-05,170962118.93394583,DANGER,13.715386023888222,True
2024-08-06,171987989.73726407,DANGER,10.0,True
2024-08-07,172424329.02101323,DANGER,10.0,True
2024-08-08,175159823.14082542,DANGER,10.0,True
2024-08-09,175637720.62720415,DANGER,12.792305579552284,True
2024-08-12,174882230.11599442,DANGER,20.684613447922928,True
2024-08-13,176944720.10790607,DANGER,19.90000211275541,True
2024-08-14,175700102.87224385,NORMAL,25.87692114023062,True
2024-08-15,175904063.52659944,NORMAL,30.330767998328575,True
2024-08-16,178294350.21433985,NORMAL,61.97731712122379,False
2024-08-19,177094999.04634112,NORMAL,64.96547813785585,False
