Date,Wealth,Invested
2020-12-24,135126.48124182498,65452.108349623006
2020-12-28,135775.13337440192,65476.12398771293
2020-12-29,135602.3030797149,65500.13962580285
2020-12-30,136250.42768335927,65524.15526389276
2020-12-31,136722.0712591753,65548.17090198268
2021-01-04,136209.60830988444,65572.18654007261
2021-01-05,137435.6854926659,65596.20217816252
2021-01-06,137797.63037884256,65620.21781625244
2021-01-07,140014.45414290106,65644.23345434235
2021-01-08,141410.0780410333,65668.24909243228
2021-01-11,140774.49541292945,65692.2647305222
2021-01-12,141039.72026579164,65716.28036861212
2021-01-13,141344.90110401527,65740.29600670203
2021-01-14,141255.21498267542,65764.31164479195
2021-01-15,139603.77931817123,65788.32728288187
2021-01-19,140924.3468111506,65812.3429209718
2021-01-20,142624.56066861728,65836.35855906171
2021-01-21,143274.12812552403,65860.37419715163
2021-01-22,142500.30158863496,65884.38983524154
2021-01-25,143611.8368809808,65908.40547333147
2021-01-26,143122.98418540318,65932.4211114214
2021-01-27,140124.03338050903,65956.43674951131
2021-01-28,140546.58592454725,65980.45238760122
2021-01-29,137486.61637446252,66004.46802569114
2021-02-01,140639.28466642328,66028.48366378107
2021-02-02,142454.39473266513,66052.49930187098
2021-02-03,142603.93501347222,66076.5149399609
2021-02-04,143391.26003168107,66100.53057805082
2021-02-05,144148.7745519639,66124.54621614073
2021-02-08,145073.72315897,66148.56185423065
2021-02-09,145082.47437427336,66172.57749232058
2021-02-10,145075.32329265296,66196.5931304105
2021-02-11,145194.29365841957,66220.60876850042
2021-02-12,145812.49031594634,66244.62440659033
2021-02-16,146326.66507614215,66268.64004468024
2021-02-17,145798.783873238,66292.65568277017
2021-02-18,144997.8322147332,66316.6713208601
2021-02-19,145367.7012686607,66340.68695895001
2021-02-22,144039.3318450274,66364.70259703993
2021-02-23,143925.24315018667,66388.71823512984
2021-02-24,145006.8958596113,66412.73387321977
2021-02-25,142288.3802948744,66436.7495113097
2021-02-26,141104.55565900088,66460.76514939961
2021-03-01,144858.12373298506,66484.78078748952
2021-03-02,143892.81136435273,66508.79642557944
2021-03-03,142457.43097381538,66532.81206366936
2021-03-04,140557.66978004118,66556.82770175929
2021-03-05,142881.81624123608,66580.8433398492
2021-03-08,141734.90422642426,66604.85897793912
2021-03-09,143672.0212233248,66628.87461602903
2021-03-10,144386.40152213434,66652.89025411896
2021-03-11,146153.746579003,66676.90589220887
2021-03-12,146456.1955190851,66700.9215302988
2021-03-15,147105.18782371405,66724.93716838871
2021-03-16,147099.6591480761,66748.95280647863
2021-03-17,147495.1464468496,66772.96844456854
2021-03-18,145608.57239202943,66796.98408265847
2021-03-19,145414.3574257249,66820.9997207484
2021-03-22,146751.7866687307,66845.01535883831
2021-03-23,145591.05717584433,66869.03099692822
2021-03-24,144601.39251625724,66893.04663501814
2021-03-25,145333.84895920067,66917.06227310807
2021-03-26,147876.71330955822,66941.077911198
2021-03-29,147660.75444141502,66965.0935492879
2021-03-30,147214.62258184166,66989.10918737782
2021-03-31,147903.51621113883,67013.12482546773
2021-04-01,150072.1464577738,67037.14046355766
2021-04-05,152391.4619901507,67061.15610164759
2021-04-06,152200.6865453815,67085.1717397375
2021-04-07,152242.09129797685,67109.18737782742
2021-04-08,152998.1040211664,67133.20301591733
2021-04-09,153596.20778685735,67157.21865400726
2021-04-12,153650.21370149136,67181.23429209719
2021-04-13,154330.654969281,67205.2499301871
2021-04-14,153749.9521758456,67229.26556827701
2021-04-15,155198.71331690604,67253.28120636693
2021-04-16,155815.39396286453,67277.29684445685
2021-04-19,154879.47133919896,67301.31248254677
2021-04-20,154157.16797391785,67325.3281206367
2021-04-21,155093.49054152454,67349.34375872661
2021-04-22,153490.45320428815,67373.35939681652
2021-04-23,154887.6943785055,67397.37503490645
2021-04-26,155436.94005362166,67421.39067299636
2021-04-27,155049.24191988088,67445.40631108629
2021-04-28,154229.65673391044,67469.4219491762
2021-04-29,154926.13008065705,67493.43758726612
2021-04-30,153963.25409008152,67517.45322535603
2021-05-03,154710.60699025204,67541.46886344596
2021-05-04,154035.40826842855,67565.48450153589
2021-05-05,154148.2065049294,67589.5001396258
2021-05-06,155544.73742854525,67613.51577771571
2021-05-07,156611.7101381095,67637.53141580563
2021-05-10,155376.23610806096,67661.54705389556
2021-05-11,154276.05014420106,67685.56269198548
2021-05-12,151086.27256173835,67709.5783300754
2021-05-13,152432.0016950897,67733.59396816531
2021-05-14,154651.91489295146,67757.60960625522
2021-05-17,154263.07256703413,67781.62524434515
2021-05-18,153354.62212868157,67805.64088243508
2021-05-19,153167.5981512249,67829.656520525
2021-05-20,154728.60059640007,67853.6721586149
2021-05-21,154485.28292312744,67877.68779670482
2021-05-24,155705.3372519426,67901.70343479475
2021-05-25,155562.46773465603,67925.71907288466
2021-05-26,155734.94088937482,67949.73471097459
2021-05-27,155718.87112429252,67973.7503490645
2021-05-28,156196.29141196792,67997.76598715442
2021-06-01,156721.33278258546,68021.78162524434
2021-06-02,157059.03613875975,68045.79726333426
2021-06-03,156424.63345410672,68069.81290142419
2021-06-04,157913.8086426556,68093.8285395141
2021-06-07,157890.93448731804,68117.84417760401
2021-06-08,157821.8790511117,68141.85981569393
2021-06-09,157394.0555654573,68165.87545378385
2021-06-10,158351.34434063613,68189.89109187378
2021-06-11,158745.88443324956,68213.9067299637
2021-06-14,159063.32037870146,68237.92236805361
2021-06-15,158612.98879287596,68261.93800614352
2021-06-16,157936.66048013873,68285.95364423345
2021-06-17,157689.21432084066,68309.96928232338
2021-06-18,155997.0751581645,68333.98492041329
2021-06-21,157434.2078840506,68358.0005585032
2021-06-22,158280.4063252553,68382.01619659312
2021-06-23,158132.90640107455,68406.03183468305
2021-06-24,159064.16133912164,68430.04747277297
2021-06-25,159511.73478800015,68454.06311086289
2021-06-28,160142.121117299,68478.0787489528
2021-06-29,160162.59098913346,68502.09438704271
2021-06-30,160478.54594128788,68526.11002513264
2021-07-01,161198.74040617174,68550.12566322256
2021-07-02,162102.12474760224,68574.14130131248
2021-07-06,161906.48149572904,68598.1569394024
2021-07-07,162241.23757704208,68622.17257749231
2021-07-08,161009.14951811323,68646.18821558224
2021-07-09,162185.51419185445,68670.20385367215
2021-07-12,162783.10522380908,68694.21949176208
2021-07-13,162605.01068937767,68718.235129852
2021-07-14,162801.6839327803,68742.2507679419
2021-07-15,162582.85548948153,68766.26640603182
2021-07-16,161359.7298079985,68790.28204412175
2021-07-19,159494.11705067227,68814.29768221168
2021-07-20,161089.3547027624,68838.31332030159
2021-07-21,161994.96232108324,68862.3289583915
2021-07-22,162242.90091803716,68886.34459648142
2021-07-23,163586.4651018012,68910.36023457134
2021-07-26,163596.46635770958,68934.37587266127
2021-07-27,162784.65195890467,68958.39151075119
2021-07-28,163043.52024461716,68982.4071488411
2021-07-29,163640.89364599917,69006.42278693101
2021-07-30,162782.02074716374,69030.43842502094
2021-08-02,163312.71291951867,69054.45406311087
2021-08-03,164672.82690839778,69078.46970120078
2021-08-04,164242.93480702027,69102.4853392907
2021-08-05,164985.71254523,69126.50097738061
2021-08-06,164690.50558320846,69150.51661547054
2021-08-09,164617.7566729898,69174.53225356046
2021-08-10,164685.6526161537,69198.54789165038
2021-08-11,164782.6758266742,69222.56352974029
2021-08-12,164989.7188636306,69246.5791678302
2021-08-13,165132.40460345236,69270.59480592013
2021-08-16,165444.0447016673,69294.61044401005
2021-08-17,164101.0155933291,69318.62608209997
2021-08-18,162549.99039120832,69342.64172018989
2021-08-19,162479.01942364936,69366.6573582798
2021-08-20,163385.7334445382,69390.67299636971
2021-08-23,165131.50200864888,69414.68863445964
2021-08-24,165694.07147789755,69438.70427254957
2021-08-25,165951.12990653107,69462.71991063948
2021-08-26,164971.1097814934,69486.7355487294
2021-08-27,166299.51301462937,69510.75118681931
2021-08-30,167092.08479037546,69534.76682490924
2021-08-31,167500.11474650147,69558.78246299917
2021-09-01,167821.18855318462,69582.79810108908
2021-09-02,167997.27141561016,69606.813739179
2021-09-03,168407.64407125476,69630.8293772689
2021-09-07,167468.04640702892,69654.84501535883
2021-09-08,167065.260840461,69678.86065344876
2021-09-09,166109.37137419492,69702.87629153868
2021-09-10,165273.23182345252,69726.89192962859
2021-09-13,165605.25513783414,69750.9075677185
2021-09-14,165094.10112736854,69774.92320580843
2021-09-15,166235.85207772977,69798.93884389836
2021-09-16,165568.59425941366,69822.95448198827
2021-09-17,164334.15257620928,69846.97012007819
2021-09-20,161919.0879866847,69870.9857581681
2021-09-21,161803.96236160488,69895.00139625803
2021-09-22,163033.14900868275,69919.01703434794
2021-09-23,164508.14445441603,69943.03267243787
2021-09-24,164672.35272658008,69967.04831052778
2021-09-27,164569.92721712578,69991.0639486177
2021-09-28,161419.3054766755,70015.07958670761
2021-09-29,161293.37665351183,70039.09522479754
2021-09-30,160163.77056556428,70063.11086288746
2021-10-01,161657.58668656967,70087.12650097738
2021-10-04,159904.56243797656,70111.14213906729
2021-10-05,160891.21541822542,70135.1577771572
2021-10-06,161162.35556819927,70159.17341524713
2021-10-07,162606.50499436358,70183.18905333706
2021-10-08,162193.2192089827,70207.20469142697
2021-10-11,161308.29160723143,70231.22032951689
2021-10-12,160419.2759289238,70255.2359676068
2021-10-13,161403.0691339817,70279.25160569673
2021-10-14,164025.66200558262,70303.26724378666
2021-10-15,164894.1375200574,70327.28288187657
2021-10-18,165348.3421807249,70351.29851996648
2021-10-19,166688.62725958903,70375.3141580564
2021-10-20,167200.40940146887,70399.32979614632
2021-10-21,167285.6276548432,70423.34543423625
2021-10-22,166870.02250378957,70447.36107232617
2021-10-25,167914.8986488325,70471.37671041608
2021-10-26,168139.01082619437,70495.392348506
2021-10-27,167212.86904044353,70519.40798659592
2021-10-28,168526.39464113727,70543.42362468583
2021-10-29,168570.6843178915,70567.43926277576
2021-11-01,169573.94685809631,70591.45490086568
2021-11-02,170604.17225769642,70615.47053895559
2021-11-03,171530.89064682243,70639.48617704552
2021-11-04,172465.35121286506,70663.50181513543
2021-11-05,172935.21701750078,70687.51745322536
2021-11-08,172776.9385087846,70711.53309131527
2021-11-09,172157.08279945527,70735.54872940519
2021-11-10,170923.0357876009,70759.5643674951
2021-11-11,171273.94599054722,70783.58000558503
2021-11-12,172519.58253821437,70807.59564367495
2021-11-15,172737.50205561554,70831.61128176487
2021-11-16,173331.85235388312,70855.62691985478
2021-11-17,172911.9921691369,70879.6425579447
2021-11-18,173351.15817530898,70903.65819603462
2021-11-19,173481.83547750377,70927.67383412455
2021-11-22,173192.3738402693,70951.68947221446
