Date,PV_KRW,Signal
2013-01-31,119379089.80092445,NORMAL
2013-02-01,121123206.12255278,NORMAL
2013-02-04,116696024.88723461,NORMAL
2013-02-05,120792141.80014464,NORMAL
2013-02-06,120025393.90766473,NORMAL
2013-02-07,120256077.87144426,NORMAL
2013-02-08,121980208.24307792,NORMAL
2013-02-11,120519208.73076233,NORMAL
2013-02-12,122104259.76484492,NORMAL
2013-02-13,122457135.9482993,NORMAL
2013-02-14,121775369.43487686,NORMAL
2013-02-15,120998586.3818622,NORMAL
2013-02-18,117516617.9655202,NORMAL
2013-02-19,121834418.9866167,NORMAL
2013-02-20,119227374.32231057,NORMAL
2013-02-21,117983258.41520606,NORMAL
2013-02-22,120193413.68879841,NORMAL
2013-02-25,115188563.0049432,NORMAL
2013-02-26,118914437.25660776,NORMAL
2013-02-27,120913427.86333205,NORMAL
2013-02-28,119739406.68841578,NORMAL
2013-03-01,120214133.9966488,NORMAL
2013-03-04,118150000.40566795,NORMAL
2013-03-05,123545927.13498011,NORMAL
2013-03-06,122704882.17590034,NORMAL
2013-03-07,122650149.85588156,NORMAL
2013-03-08,123031780.85627425,NORMAL
2013-03-11,122199536.85482548,NORMAL
2013-03-12,123493313.30593683,NORMAL
2013-03-13,123387058.66173515,NORMAL
2013-03-14,124290406.52621254,NORMAL
2013-03-15,124594850.86830929,NORMAL
2013-03-18,126306482.60442789,NORMAL
2013-03-19,124706597.51944983,NORMAL
2013-03-20,125310700.75515856,NORMAL
2013-03-21,123912204.09132782,NORMAL
2013-03-22,125371535.76045293,NORMAL
2013-03-25,122226253.25235602,NORMAL
2013-03-26,125694577.94465618,NORMAL
2013-03-27,125545981.30815136,NORMAL
2013-03-28,126222773.88766553,NORMAL
2013-03-29,126393268.40439807,NORMAL
2013-04-01,122754812.66025947,NORMAL
2013-04-02,122936896.03723036,NORMAL
2013-04-03,124675507.48377626,NORMAL
2013-04-04,124287076.72450347,NORMAL
2013-04-05,123803788.41181086,NORMAL
2013-04-08,125793253.11345987,NORMAL
2013-04-09,127482102.57232289,NORMAL
2013-04-10,129890017.02409919,NORMAL
2013-04-11,129392267.13477057,NORMAL
2013-04-12,126999084.68608704,NORMAL
2013-04-15,119702613.42170642,NORMAL
2013-04-16,124076463.19991231,NORMAL
2013-04-17,120419677.64585514,NORMAL
2013-04-18,119291014.24099301,NORMAL
2013-04-19,119359798.80708967,NORMAL
2013-04-22,120816735.36709744,NORMAL
2013-04-23,124282194.69117919,NORMAL
2013-04-24,124569416.8583532,NORMAL
2013-04-25,125750059.44517201,NORMAL
2013-04-26,124517099.28021544,NORMAL
2013-04-29,125881468.10794927,NORMAL
2013-04-30,126656568.97394374,NORMAL
2013-05-01,125204433.94913152,NORMAL
2013-05-02,126941839.16202547,NORMAL
2013-05-03,129026883.4615578,NORMAL
2013-05-06,126001042.57654636,NORMAL
2013-05-07,128392495.7300797,NORMAL
2013-05-08,128894742.68684326,NORMAL
2013-05-09,124613270.31509657,NORMAL
2013-05-10,128573785.59521945,NORMAL
2013-05-13,127728685.01914681,NORMAL
2013-05-14,132271243.9648746,NORMAL
2013-05-15,131739872.74401394,NORMAL
2013-05-16,132246484.3825468,NORMAL
2013-05-17,133601953.17382358,NORMAL
2013-05-20,131298217.37157308,NORMAL
2013-05-21,133879400.0236216,NORMAL
2013-05-22,131606489.50065926,NORMAL
2013-05-23,131625178.39740889,NORMAL
2013-05-24,133061832.59687476,NORMAL
2013-05-27,130406967.50592701,NORMAL
2013-05-28,133495260.63547684,NORMAL
2013-05-29,133598241.67210026,NORMAL
2013-05-30,135333320.08529514,NORMAL
2013-05-31,132653811.05248092,NORMAL
2013-06-03,131543566.46275799,NORMAL
2013-06-04,131657419.21854103,NORMAL
2013-06-05,129797547.50669163,NORMAL
2013-06-06,130184936.84919651,NORMAL
2013-06-07,131332302.31204975,NORMAL
2013-06-10,128748442.49243364,NORMAL
2013-06-11,126870990.317857,NORMAL
2013-06-12,125266222.32579207,NORMAL
2013-06-13,130557248.73904622,NORMAL
2013-06-14,129653067.89977835,NORMAL
2013-06-17,130663488.52135202,NORMAL
2013-06-18,131687256.08450788,NORMAL
2013-06-19,129961172.64142495,NORMAL
2013-06-20,123998996.27137291,NORMAL
2013-06-21,125464536.74646334,NORMAL
2013-06-24,124581778.03502801,NORMAL
2013-06-25,126370986.58197618,NORMAL
2013-06-26,125872809.32935093,NORMAL
2013-06-27,127394914.32691509,NORMAL
2013-06-28,127131945.41425028,NORMAL
2013-07-01,125860522.48560771,NORMAL
2013-07-02,126696198.19904959,NORMAL
2013-07-03,126878320.9478257,NORMAL
2013-07-04,127684603.13281585,NORMAL
2013-07-05,127899769.8122116,NORMAL
2013-07-08,128741465.79086211,NORMAL
2013-07-09,130788675.92526121,NORMAL
2013-07-10,130759346.0851532,NORMAL
2013-07-11,134736025.77659944,NORMAL
2013-07-12,133547572.3699964,NORMAL
2013-07-15,134205988.51522999,NORMAL
2013-07-16,133643577.91425337,NORMAL
2013-07-17,133186497.63407536,NORMAL
2013-07-18,133096681.30301313,NORMAL
2013-07-19,133002809.16683532,NORMAL
2013-07-22,133459528.68621372,NORMAL
2013-07-23,132810240.10125391,NORMAL
2013-07-24,132501392.58834735,NORMAL
2013-07-25,133568867.76100874,NORMAL
2013-07-26,134511708.17965958,NORMAL
2013-07-29,130483655.76586236,NORMAL
2013-07-30,134091025.52180555,NORMAL
2013-07-31,134464373.140216,NORMAL
2013-08-01,137205990.0607434,NORMAL
2013-08-02,137973325.3510693,NORMAL
2013-08-05,137975674.39909112,NORMAL
2013-08-06,135271666.79767013,NORMAL
2013-08-07,134642318.26641744,NORMAL
2013-08-08,136110979.3184023,NORMAL
2013-08-09,135119336.89345542,NORMAL
2013-08-12,135658785.28967786,NORMAL
2013-08-13,136872633.0971684,NORMAL
2013-08-14,137166676.82452875,NORMAL
2013-08-15,134958512.27463716,NORMAL
2013-08-16,135048042.73815796,NORMAL
2013-08-19,133841430.38246918,NORMAL
2013-08-20,135015661.76538533,NORMAL
2013-08-21,133929834.60390449,NORMAL
2013-08-22,135411696.55032703,NORMAL
2013-08-23,137369774.35868436,NORMAL
2013-08-26,136547866.59694973,NORMAL
2013-08-27,133256729.30907595,NORMAL
2013-08-28,134913210.80565482,NORMAL
2013-08-29,135883212.7196215,NORMAL
2013-08-30,134625782.46373907,NORMAL
